,Topico 0,Topico 2,Topico 4,Topico 7,Topico 9
0,american,child,people,law,investigation
1,conservative,kid,make,state,report
2,people,day,work,president,muell
3,democrat,work,time,order,flynn
4,republican,remember,good,official,crime
5,vote,story,thing,office,mueller
6,voter,die,year,congress,president
7,fight,parent,end,country,trump
8,border,time,back,member,case
9,adhd,leave,call,send,judge
10,racist,hold,happen,rule,barr
11,liberal,baby,find,administration,lawyer
12,anti,walk,give,policy,court
13,party,home,talk,year,obstruction
14,support,sit,thread,government,evidence
15,bill,life,leave,citizen,congress
16,house,man,write,apply,charge
17,political,doctor,fact,vote,find
18,national,water,change,political,comey
19,election,room,long,immigration,investigate
20,win,fuck,start,act,attorney
21,gop,family,lot,action,make
22,immigration,car,real,united_state,justice
23,democracy,father,understand,foreign,criminal
24,democratic,hour,big,power,fact
25,narrative,feel,show,organization,law
26,establishment,bad,question,deal,note
27,government,dad,hard,include,statement
28,dem,mother,hand,group,release
29,public,hear,lie,application,fbi
30,immigrant,live,true,military,manafort
31,policy,stop,world,stop,testimony
32,challenge,hand,learn,federal,legal
33,base,food,read,lead,information
34,history,care,feel,authority,part
35,view,call,matter,individual,interview
36,frame,morning,friend,part,federal
37,issue,dementia,today,end,record
38,nation,library,job,family,write
39,bad,condition,word,senior,article
